Date,address,daily_trx,trx_fee,hashrate,price,Supply
2012-07-14,2100,696,0.00176,167732911,0.0375,8616616.666664965
2012-07-15,2262,774,0.00179,183425221,0.0382,8633283.333331633
2012-07-16,2706,989,0.00481,192076818,0.0461,8674949.9999983
2012-07-17,3017,1144,0.0035,189984737,0.0565,8716616.666664965
2012-07-18,2628,947,0.0021,203097875,0.0511,8733283.333331633
2012-07-19,2608,958,0.00221,198171909,0.0497,8774949.9999983
2012-07-20,2347,860,0.00298,204544730,0.0526,8816616.666664965
2012-07-21,2190,797,0.00238,210318609,0.051,8833283.333331633
2012-07-22,2074,685,0.00227,202299367,0.0478,8866616.666664965
2012-07-23,2874,1012,0.00271,221356698,0.0484,8883283.333331633
2012-07-24,2695,1156,0.00302,246790620,0.0496,8924949.9999983
2012-07-25,2986,1049,0.00267,244378089,0.0461,8966616.666664965
2012-07-26,2495,682,0.00234,255687923,0.0465,8983283.333331633
2012-07-27,2870,1036,0.00252,247564793,0.053,9024949.9999983
2012-07-28,2407,845,0.0029,263792172,0.0525,9066616.666664965
2012-07-29,2720,997,0.00286,294702453,0.0535,9083283.333331633
2012-07-30,2706,963,0.00504,313484043,0.0589,9124949.9999983
2012-07-31,4785,1442,0.0222,296480801,0.062,9166616.666664965
2012-08-01,3580,1735,null,310647411,null,9183283.333331633
2012-08-02,3099,1263,0.00326,321173266,0.0607,9224949.9999983
2012-08-03,2471,932,0.00349,302927341,0.0558,9266616.666664965
2012-08-04,3121,1028,0.00883,298887311,0.0512,9283283.333331633
2012-08-05,3753,1347,0.0053,262386597,0.0474,9316616.666664965
2012-08-06,2331,711,0.00282,253995728,0.0484,9333283.333331633
2012-08-07,1835,606,0.00279,249078843,0.0535,9366616.666664965
2012-08-08,2310,753,0.00301,241768627,0.0562,9383283.333331633
2012-08-09,2425,748,0.0029,236043323,0.0519,9416616.666664965
2012-08-10,2235,616,0.00292,251954163,0.0508,9433283.333331633
2012-08-11,2163,680,0.00216,254623567,0.0503,9466616.666664965
2012-08-12,2713,1057,0.00393,266026699,0.0509,9483283.333331633
2012-08-13,2272,746,0.00232,260361702,0.0491,9524949.9999983
2012-08-14,2076,637,0.00244,261233170,0.0461,9566616.666664965
2012-08-15,2384,833,0.00222,265680811,0.04,9583283.333331633
2012-08-16,2451,946,0.00195,263696273,0.0395,9616616.666664965
2012-08-17,2321,682,0.00194,243567104,0.0455,9633283.333331633
2012-08-18,1950,616,0.00184,232802881,0.0465,9666616.666664965
2012-08-19,2650,1096,0.00253,235864602,0.0395,9683283.333331633
2012-08-20,2616,839,0.00182,253370681,0.0379,9716616.666664965
2012-08-21,2349,824,0.00193,252197546,0.0381,9733283.333331633
2012-08-22,1880,660,0.00246,207185949,0.0399,9774949.9999983
2012-08-23,2134,630,0.00231,221209228,0.0406,9816616.666664965
2012-08-24,2339,664,0.00193,237795642,0.0398,9833283.333331633
2012-08-25,2765,1212,0.00435,251414800,0.0403,9866616.666664965
2012-08-26,2138,706,0.0037,279939561,0.0403,9883283.333331633
2012-08-27,3173,1225,0.00272,244402966,0.0396,9916616.666664965
2012-08-28,2268,758,0.00214,240411954,0.039,9933283.333331633
2012-08-29,2596,1048,0.00265,252184182,0.04,9974949.9999983
2012-08-30,2652,977,0.00246,262126523,0.0389,10016616.666664965
2012-08-31,2520,965,0.00191,241128624,0.0392,10033283.333331633
2012-09-01,2575,1131,0.0028,264303667,0.0385,10066616.666664965
2012-09-02,5460,3515,0.00556,272106739,0.0375,10083283.333331633
2012-09-03,5148,3317,0.00425,257409476,0.0381,10124949.9999983
2012-09-04,4616,3375,0.00328,247426522,0.0379,10166616.666664965
2012-09-05,4946,2949,0.00461,256516617,0.0394,10183283.333331633
2012-09-06,3164,1231,0.00316,282660500,0.0393,10216616.666664965
2012-09-07,2099,689,0.00183,270447205,0.0391,10233283.333331633
2012-09-08,3074,1282,0.00693,255629393,0.0389,10274949.9999983
2012-09-09,3433,2395,0.00345,275600241,0.0392,10316616.666664965
2012-09-10,4214,2182,0.00335,262896374,0.0393,10333283.333331633
2012-09-11,3547,2185,0.00312,245308992,0.0386,10366616.666664965
2012-09-12,2886,1495,0.00255,266766869,0.0383,10383283.333331633
2012-09-13,3215,1466,0.00251,262735507,0.0339,10416616.666664965
2012-09-14,2887,1922,0.00267,239301029,0.0322,10433283.333331633
2012-09-15,3639,2444,0.00322,244387159,0.0351,10466616.666664965
2012-09-16,3042,1428,0.00332,239743494,0.0369,10483283.333331633
2012-09-17,3063,1444,0.00279,247222249,0.0375,10524949.9999983
2012-09-18,2463,782,0.00176,257866339,0.0381,10566616.666664965
