Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Trx/Day
12/26/2015,529.3583,39678,76005996.75000,31296185188395460133,10726
12/27/2015,545.3460,39822,76032850.50000,86634345029167915594,21867
12/28/2015,545.0927,40010,76059908.46875,36400490688487782520,12368
12/29/2015,542.2221,40182,76086569.56250,33189211049882554675,11358
12/30/2015,534.5552,40333,76113305.81250,76132284001654180432,21767
12/31/2015,542.7166,40566,76140217.84375,25067324647301430536,10301
1/1/2016,526.2007,40701,76166284.40625,15650894936718752380,8233
1/2/2016,528.0765,40850,76193668.31250,19359790811857714750,9164
1/3/2016,544.8281,41000,76221344.09375,19448316682466488056,9258
1/4/2016,541.3346,41198,76248764.71875,21310431896313736148,9474
1/5/2016,548.8214,41381,76276603.93750,60356444504277487333,16430
1/6/2016,552.2518,41647,76304229.40625,66533918450161227489,17074
1/7/2016,526.3401,41869,76331251.59375,65506547602439590264,22075
1/8/2016,550.7067,42078,76359248.31250,26049507544506407175,10919
1/9/2016,551.6457,42411,76386844.09375,39300517520859971054,11793
1/10/2016,538.0286,42678,76414132.06250,26326052773322897092,10320
1/11/2016,561.5707,43005,76441137.21875,25513565112846124771,10893
1/12/2016,541.1136,43351,76467038.00000,25630722267460299100,10862
1/13/2016,530.6222,43579,76493573.31250,60312609443641457512,17665
1/14/2016,553.7419,43804,76520492.53125,26776176405036451541,10653
1/15/2016,567.1537,44209,76547289.87500,23160124217773726978,9875
1/16/2016,574.0822,44494,76573813.00000,22650257057284401829,10664
1/17/2016,568.3259,44771,76600412.84375,17039702197228480516,9747
1/18/2016,591.4190,45167,76627033.00000,30918809979884179006,12916
1/19/2016,584.9040,45486,76653125.81250,35576958227966313784,13420
1/20/2016,588.1518,45937,76679668.31250,19013491869610907123,10610
1/21/2016,584.1308,46362,76705587.53125,20295975834499795383,10734
1/22/2016,610.6596,46783,76731842.53125,31181325074578597403,13848
1/23/2016,608.8656,47374,76757612.21875,17432803410571133806,11025
1/24/2016,650.5701,48105,76784855.18750,23730882576743100681,12798
1/25/2016,624.8285,48925,76810552.21875,40191242860806737766,17121
1/26/2016,672.8732,49844,76837541.43750,37898057547576072726,16511
1/27/2016,663.7333,50637,76863642.21875,56860146719716907969,18747
1/28/2016,652.1991,51643,76890206.90625,41356011041144648852,16765
