Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Daily_Trx
2012-03-25,46835565,1491,5333283.333331633,,510
2012-03-26,44618021,1561,5366616.666664967,,551
2012-03-27,49295594,1916,5383283.333331633,,642
2012-03-28,49969209,1723,5416616.666664967,,573
2012-03-29,52247390,1746,5433283.333331633,,518
2012-03-30,54442885,1885,5474949.9999983,,545
2012-03-31,49110359,1661,5516616.666664967,,501
2012-04-01,50440865,1829,5533283.333331633,,549
2012-04-02,50881755,1635,5566616.666664967,,503
2012-04-03,48080657,1507,5583283.333331633,,464
2012-04-04,47495430,1752,5616616.666664967,,517
2012-04-05,43124790,1523,5633283.333331633,,496
2012-04-06,40532993,1684,5666616.666664967,,557
2012-04-07,47571590,1608,5683283.333331633,,485
2012-04-08,49219032,1692,5724949.9999983,,546
2012-04-09,51204052,1662,5766616.666664967,,462
2012-04-10,55384967,1931,5783283.333331633,,606
2012-04-11,47479464,1708,5816616.666664967,,562
2012-04-12,46798869,1797,5833283.333331633,,531
2012-04-13,50087940,1744,5874949.9999983,,582
2012-04-14,49233710,1852,5916616.666664967,,519
2012-04-15,45579865,1545,5933283.333331633,,478
2012-04-16,50680127,1630,5966616.666664967,,517
2012-04-17,47686153,1544,5983283.333331633,,522
2012-04-18,47007017,1626,6016616.666664967,,529
2012-04-19,45354465,1507,6033283.333331633,,486
2012-04-20,43220756,1447,6066616.666664967,,443
2012-04-21,42083220,1378,6083283.333331633,,354
2012-04-22,42035907,1516,6124949.9999983,,412
2012-04-23,42944418,1596,6166616.666664967,,464
2012-04-24,44434285,1657,6183283.333331633,,479
2012-04-25,43751456,1571,6216616.666664967,,456
2012-04-26,33806108,1669,6233283.333331633,,490
2012-04-27,33271750,1450,6266616.666664967,,482
2012-04-28,32642276,1492,6283283.333331633,,489
2012-04-29,34552997,1567,6316616.666664967,,491
2012-04-30,38102259,1992,6333283.333331633,,552
2012-05-01,38946047,2098,6366616.666664967,,556
2012-05-02,41052760,2092,6383283.333331633,,554
2012-05-03,36197591,1684,6424949.9999983,,520
2012-05-04,32158865,1546,6466616.666664967,,397
2012-05-05,28550498,1569,6483283.333331633,,414
2012-05-06,33458368,1451,6516616.666664967,,422
2012-05-07,33722511,1614,6533283.333331633,,495
2012-05-08,35740715,1698,6566616.666664967,,508
2012-05-09,32563270,1737,6583283.333331633,,532
2012-05-10,34154401,1713,6616616.666664967,,507
2012-05-11,33654904,1672,6633283.333331633,,521
2012-05-12,32868594,1540,6666616.666664967,,460
2012-05-13,33387008,1693,6683283.333331633,,502
2012-05-14,34396484,1915,6724949.9999983,,548
2012-05-15,33287262,1764,6766616.666664967,,488
2012-05-16,29319211,1586,6783283.333331633,,505
2012-05-17,29148416,1735,6816616.666664967,,600
2012-05-18,27040671,1611,6833283.333331633,,595
2012-05-19,26777859,1580,6866616.666664967,,538
2012-05-20,27945404,1878,6883283.333331633,,657
2012-05-21,29754823,2021,6916616.666664967,,704
2012-05-22,30582011,2055,6933283.333331633,,662
2012-05-23,33166164,1971,6974949.9999983,,686
2012-05-24,32861745,1920,7016616.666664967,,674
2012-05-25,35855277,2159,7033283.333331633,,774
2012-05-26,36874835,1827,7074949.9999983,,640
2012-05-27,29809529,1765,7116616.666664967,,658
2012-05-28,29932179,1923,7133283.333331633,,684
2012-05-29,30487051,1770,7166616.666664967,,683
2012-05-30,27710751,1848,7183283.333331633,,596
